RegioCode,Regio,50PLUS,BBB,BIJ1,BVNL / Groep Van Haga,CDA,ChristenUnie,D66,DENK,Forum voor Democratie,GROENLINKS / Partij van de Arbeid (PvdA),JA21,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),Nederland met een PLAN,Nieuw Sociaal Contract,PVV (Partij voor de Vrijheid),Partij voor de Dieren,PartijvdSport,Piratenpartij - De Groenen,Politieke Partij voor Basisinkomen,SP (Socialistische Partij),Samen voor Nederland,Splinter,Staatkundig Gereformeerde Partij (SGP),VVD,Volt,x,y
GM0796,'s-Hertogenbosch,0.5238279089666399,2.00244174762347,0.3506099151649223,0.42991453883317854,2.5878350881220458,0.4486972128598708,8.832030720106852,2.1725292957540723,1.951311134995252,18.40597706426805,0.6229586885519601,0.07930462366825623,0.03860882994375633,0.03443490238226916,10.896037899262259,23.54095144678764,2.4584433337159433,0.03860882994375633,0.09286988824308955,0.013565264574833303,4.2292321016768755,0.0427827575052435,0.1252178268446151,0.11791345361201257,17.569104588189873,2.394790938403264,10.583096,-0.75964934
GM0797,Heusden,0.7274404740782797,4.439161136936233,0.12774564422838083,0.5038855966786132,4.006245342606721,0.6316312409069941,6.309215428835031,1.543593201092935,1.9126361733082573,9.708668961356942,0.8906710194812107,0.021290940704730137,0.04258188140946027,0.039033391292005254,13.342322841630885,29.221816117242113,1.3519747347503637,0.04258188140946027,0.08871225293637557,0.03548490117455023,4.151733437422377,0.014193960469820091,0.10645470352365069,0.1703275256378411,19.54153507682481,1.0290621340619566,-5.113873,0.1355176
GM0798,Hilvarenbeek,0.5223128378997526,8.485292770090718,0.06414368184733804,0.3940254742050765,4.691652157976725,0.3207184092366902,7.0466416200861355,0.19243104554201412,1.3012004031888573,12.856226518830752,0.723907266562815,0.009163383121048292,0.018326766242096584,0.009163383121048292,14.826353889856135,21.442316503253,1.5211215980940163,0.1099605974525795,0.009163383121048292,0.018326766242096584,3.2621643910931915,0.045816915605241454,0.14661412993677267,0.07330706496838633,20.700082470448088,1.2095665719783744,0.5121808,8.338886
GM0809,Loon op Zand,0.7618662351672061,4.692556634304207,0.07416396979503775,0.39104638619201726,3.7014563106796117,0.45846817691477887,5.016181229773463,0.5528586839266451,1.6788025889967637,9.857065803667746,0.593311758360302,0.047195253505933114,0.020226537216828478,0.02696871628910464,13.241639697950378,31.782632146709815,1.2405609492988134,0.06067961165048544,0.05393743257820928,0.020226537216828478,4.031823085221143,0.0674217907227616,0.1483279395900755,0.3775620280474649,20.199568500539375,0.9034519956850054,-8.05963,-0.8484499
GM0820,"Nuenen, Gerwen en Nederwetten",0.46886721680420107,2.9007251812953236,0.1625406351587897,0.46261565391347836,3.8072018004501125,0.6189047261815454,8.827206801700425,0.4438609652413103,1.644161040260065,16.22905726431608,0.5251312828207052,0.025006251562890724,0.018754688672168042,0.037509377344336084,14.43485871467867,20.017504376094024,1.6191547886971742,0.031257814453613406,0.037509377344336084,0.0,3.4571142785696423,0.025006251562890724,0.10627656914228557,0.08127031757939485,21.88047011752938,2.1380345086271566,11.494319,5.635206
GM0823,Oirschot,0.41393314589190877,9.379881287097781,0.031240237425804437,0.5467041549515776,5.014058106841612,0.33583255232739767,5.912214932833489,0.18744142455482662,1.5463917525773196,9.333020930959075,0.8278662917838175,0.031240237425804437,0.007810059356451109,0.007810059356451109,13.456732271165261,27.280537332083725,1.5151515151515151,0.05467041549515776,0.05467041549515776,0.0,3.147453920649797,0.03905029678225554,0.09372071227741331,0.0859106529209622,19.486098094345518,1.210559200249922,-6.5819335,6.121665
GM0824,Oisterwijk,0.6786050895381716,4.8963242224316685,0.10838831291234684,0.49010367577756836,4.198868991517436,0.3393025447690858,7.483506126295947,0.5042412818096136,1.46559849198869,12.295004712535343,0.6456173421300659,0.0471253534401508,0.0235626767200754,0.0235626767200754,13.327049952874647,22.832233741753065,1.6399622997172478,0.03770028275212064,0.05655042412818096,0.04241281809613572,3.2704995287464658,0.04241281809613572,0.0942507068803016,0.08482563619227144,23.958529688972668,1.413760603204524,6.3850207,8.559694
GM0826,Oosterhout,0.56104728827144,3.455338854751091,0.15733072104966309,0.46308665063674415,2.9150710956748895,0.4957401965149761,6.744441475940274,2.7102443078932525,1.8612521150592216,12.141182058360792,0.6115118591741622,0.03859055421972868,0.026716537536735238,0.03859055421972868,12.50630807136284,28.59560067681895,1.4783150770326832,0.0890551251224508,0.06530709175646392,0.026716537536735238,3.3930002671653754,0.0296850417074836,0.1335826876836762,0.12170867100068275,20.00178110250245,1.3387953810075104,-2.4498136,-0.94237584
GM0828,Oss,0.5558643690939411,4.1384998834477935,0.13448331510337283,0.43751905180297296,3.1361509082106545,0.28869084975524034,5.137262636948843,2.6394591977621977,1.993939285266008,10.982804066775449,0.683175240725134,0.052000215173304165,0.02868977388871954,0.048413993437214226,11.775359070451326,31.569509942799762,1.3233158206171887,0.04303466083307931,0.04482777170112428,0.016137997812404742,8.160447560472663,0.03048288475676451,0.1308970933672829,0.08786243253420359,15.492477899908552,1.0686940773548028,-2.7495208,2.2400868
GM0840,Rucphen,0.41458787154802895,5.495046026280655,0.07026913077085237,0.43566861077928465,2.325908228515213,0.24594195769798327,2.115100836202656,0.45674935001054034,2.0307778792776334,4.335605368561591,0.5199915677043075,0.035134565385426184,0.014053826154170473,0.035134565385426184,9.837678307919331,53.84020799662708,1.1102522661794674,0.04216147846251142,0.028107652308340947,0.02108073923125571,2.494554142365259,0.014053826154170473,0.0772960438479376,0.07026913077085237,13.344107933384864,0.5902606984751598,-13.453174,-7.6159034
